"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"big cities amenities in a small town setting pac parks recreation entertainment arts lawrence timber rattlers","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Prince of Peace Church",2019-05-30,"Jeff Hunter","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"cultural activities pac timber rattlers family activities farmer s markets","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","KC Neenah",2019-05-28,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"cultural and recreational activities arts center university baseball game","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"declining church attendance","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Prince of Peace Church",2019-05-30,"Jeff Hunter","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"downtown is clean","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"festivals events touching on everyone s interest levels kids 5ks","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","KC Neenah",2019-05-28,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"multicultural community center could be a good start in aligning us all together current cultural centers are siloed","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"quite a bit of community activity mile of music bazaar after dark farmers markets","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","KC Neenah",2019-05-28,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"very family friendly activities are how to include the whole family","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"publicize better within the city we have events that people don t know about bazaar after dark","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"a majority of shopping is moving to e commerce and leaving large empty buildings left behind or companies just moving for better location wg r large empty buildings not good for communities looks horrible surrounding neighborhoods suffer we need to figure out how to better utilize that space","Ideas for Innovation","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","bold idea","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"develop a cultural feel","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"excited about the new library and the convention center the pac and trout champion center mile of music lots of opportunities from an art","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"having youth more involved in conversations about what is going to keep them here","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","braindrain","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"small town feel big city options","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"this area feels like a medium sized community there is a balance there are a lot of options of things but not over crowded","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"variety of options country versus city for living large parks","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"wellbeing is continuously going up but for people from 13 30 without children we have brain drain and we are also one of the lowest areas on brain gain check in with pulse and figure out what people are doing to bring young folks to their area","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","braindrain","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"appropriate activities available","""Well Being"" brings to mind?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"church organizations offer interaction between younger and older groups as well as community resources","Best part of living here?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"good events with pac mile of music","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"growing downtown area","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"in the community the numbers of gsa and youth programs are increasing","Are we trending up or down?","Not Marked","B&CM-Arts, culture, and spiritual life","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"more community events","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"more craft breweries","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"more craft breweries","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"population is becoming more diverse","Are we trending up or down?","Not Marked","B&CM-Arts, culture, and spiritual life","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"public spaces community concerts festivals etc bringing the community together","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"recreation and community groups available","Best part of living here?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"sometimes the activities and festivals are centralized which creates a feeling of left out for other groups i e central downtown events what about east side or west side more like the night bazaars which move","Barriers to community well-being?","Not Marked","B&CM-Arts, culture, and spiritual life","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"spirituality","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"strong faith communities lots of choices","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"create opportunities for youth to give them a taste of success i e b gc programs","Select One","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","extracurricular opportunities","B&GC",2019-05-20,"Julie Filapek","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"good entertainment options octoberfest music etc","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"growing arts community","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"small town friendly feel","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"access to arts sports","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Belonging & Civic Muscle (B&CM)"
"community events art and music","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Belonging & Civic Muscle (B&CM)"
"recreation for children","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","APL - Congolese",2019-06-08,"Karen Nelson","Tami McLaughlin","Belonging & Civic Muscle (B&CM)"
"sports programs available","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","APL - Congolese",2019-06-08,"Karen Nelson","Tami McLaughlin","Belonging & Civic Muscle (B&CM)"
"a spiritual community","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"access to the arts at the low cost or free","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"arts library museums","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"become a community of joy and creativity","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"creative communities attract business and positive growth","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"equilibrium of spiritual mental physical needs","""Well Being"" brings to mind?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"free arts activites","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"great resources churches business arts education","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"holistic wellness spiritual physical emotional financial","""Well Being"" brings to mind?","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"lack of public spaces in new development","Barriers to community well-being?","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"libraries","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"lots of performing arts","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"major community activities mile of music farmers markets festivals","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"many opportunities for kids to thrive and grow","Are we trending up or down?","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"more art more music make fv an art community","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"more public gardens","Barriers to community well-being?","Not Marked","B&CM-Arts, culture, and spiritual life","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"museums","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"planetarium","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"variety of cultural opportunities","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"arts and culture","Best part of living here?","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Belonging & Civic Muscle (B&CM)"
"clubs communities act as a role model for families","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Belonging & Civic Muscle (B&CM)"
